RELAZIONE TECNICA: PARAMETRI DECODER 3D
==================================================
File sorgente: model.pth
Canali Input (Latent): 3
Canali Output (3D Voxels): 3
Numero totale layer analizzati: 80
==================================================

Nome Parametro                                               | Tipo            | Shape (O, I, D, H, W)
--------------------------------------------------------------------------------------------------------------
decoder.blocks.0.weight                                      | VOLUMETRIC      | [128, 3, 3, 3, 3]
decoder.blocks.0.bias                                        | BIAS/NORM       | [128]
decoder.blocks.1.norm1.weight                                | BIAS/NORM       | [128]
decoder.blocks.1.norm1.bias                                  | BIAS/NORM       | [128]
decoder.blocks.1.conv1.weight                                | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.1.conv1.bias                                  | BIAS/NORM       | [128]
decoder.blocks.1.norm2.weight                                | BIAS/NORM       | [128]
decoder.blocks.1.norm2.bias                                  | BIAS/NORM       | [128]
decoder.blocks.1.conv2.weight                                | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.1.conv2.bias                                  | BIAS/NORM       | [128]
decoder.blocks.2.norm1.weight                                | BIAS/NORM       | [128]
decoder.blocks.2.norm1.bias                                  | BIAS/NORM       | [128]
decoder.blocks.2.conv1.weight                                | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.2.conv1.bias                                  | BIAS/NORM       | [128]
decoder.blocks.2.norm2.weight                                | BIAS/NORM       | [128]
decoder.blocks.2.norm2.bias                                  | BIAS/NORM       | [128]
decoder.blocks.2.conv2.weight                                | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.2.conv2.bias                                  | BIAS/NORM       | [128]
decoder.blocks.3.conv.weight                                 | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.3.conv.bias                                   | BIAS/NORM       | [128]
decoder.blocks.4.norm1.weight                                | BIAS/NORM       | [128]
decoder.blocks.4.norm1.bias                                  | BIAS/NORM       | [128]
decoder.blocks.4.conv1.weight                                | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.4.conv1.bias                                  | BIAS/NORM       | [128]
decoder.blocks.4.norm2.weight                                | BIAS/NORM       | [128]
decoder.blocks.4.norm2.bias                                  | BIAS/NORM       | [128]
decoder.blocks.4.conv2.weight                                | VOLUMETRIC      | [128, 128, 3, 3, 3]
decoder.blocks.4.conv2.bias                                  | BIAS/NORM       | [128]
decoder.blocks.5.norm1.weight                                | BIAS/NORM       | [128]
